linegroup,species
240903_fran_nut_gradient_repeat_3_plate_1_A5,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_F1,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D6,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F4,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C11,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_C4,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F5,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C7,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_G3,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_F9,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A11,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_D5,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B4,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_E1,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C3,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F11,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D11,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B5,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_E7,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D3,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B7,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_A9,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_B3,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_C1,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B6,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_C5,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_D7,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F3,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D10,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F2,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_G1,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E4,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A8,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E3,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D4,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_C8,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_E10,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_F7,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_B2,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_G11,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G10,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_A3,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E8,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_B9,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_C2,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_A6,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_F8,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D2,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_E6,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A7,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_2_C11,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D7,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_C7,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A1,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_B10,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A2,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_D10,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_A11,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_D9,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_C6,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D5,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_B4,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D8,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_C3,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A8,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_D4,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_C8,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D11,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_A4,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_B2,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_B5,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D1,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_B11,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_B1,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A3,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_C9,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_B8,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_B9,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_B7,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A9,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_A5,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_B3,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_C2,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A6,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_C10,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_C1,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D3,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_A10,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_2_D2,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_B6,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_D6,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_2_plate_2_C4,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_C5,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_2_A7,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_C11,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D7,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_C7,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A1,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_B10,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A2,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_D10,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_A11,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_D9,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_C6,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D5,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_B4,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D8,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_C3,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A8,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_D4,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_C8,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D11,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_A4,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_B2,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_B5,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D1,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_B11,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_B1,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A3,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_C9,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_B8,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_B9,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_B7,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A9,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_A5,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_B3,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_C2,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A6,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_C10,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_C1,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D3,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_A10,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_3_plate_2_D2,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_B6,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_D6,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_3_plate_2_C4,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_C5,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_2_A7,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_C11,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D7,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_C7,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A1,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_B10,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A2,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_D10,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_A11,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_D9,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_C6,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D5,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_B4,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D8,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_C3,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A8,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_D4,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_C8,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D11,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_A4,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_B2,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_B5,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D1,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_B11,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_B1,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A3,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_C9,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_B8,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_B9,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_B7,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A9,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_A5,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_B3,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_C2,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A6,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_C10,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_C1,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D3,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_A10,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_1_plate_2_D2,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_B6,Salmonella Typhimurium sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_D6,Salmonella Typhimurium sfGFP:pGFPI CAT
240903_fran_nut_gradient_repeat_1_plate_2_C4,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_C5,Salmonella Typhimurium mcherry:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_1_plate_2_A7,Salmonella Typhimurium mCherry
240903_fran_nut_gradient_repeat_2_plate_1_E5,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_B10,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_A2,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_G9,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_D9,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_D8,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_G6,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_D1,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_B11,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_B1,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_B8,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_C10,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_A10,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_G7,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_E11,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_F6,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_F10,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_A1,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_G4,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_C6,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_G5,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_E9,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_A4,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_G8,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_C9,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_G2,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_E2,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_A5,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_F1,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_D6,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_F4,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_C11,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_C4,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_F5,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_C7,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_G3,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_F9,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_A11,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_D5,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_B4,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_E1,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_C3,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_F11,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_D11,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_B5,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_E7,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_D3,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_B7,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_A9,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_B3,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_C1,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_B6,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_C5,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_D7,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_F3,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_D10,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_F2,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_G1,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_E4,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_A8,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_E3,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_D4,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_C8,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_E10,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_F7,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_B2,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_G11,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_G10,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_A3,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_2_plate_1_E8,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_2_plate_1_B9,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_2_plate_1_C2,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_2_plate_1_A6,Escherichia coli sfGFP
